idkop;nmkop;kelurahan;kecamatan;nobh;tglbh;aktif;tdkaktif;Anggt;rat;tglrat;Krywn;Mngr;modalsendiri;modalluar;volusaha;shu;asset
 1 ; KUD. Tirtha Luhur ; Kel.Banyuning ; Buleleng ; 91/BH/PAD/KWK 22/III/1996 ;25/03/1996; 1 ; - ; 3.350 ; 1 ;06/02/2026; 7 ; 1 ; 2.286.364.874 ; 872.677.158 ; 1.898.307.250 ; 34.612.032 ; 3.159.042.032 
 2 ; KUD. Amreta Bhuana Sakti ; Desa Panji ; Sukasada ; 97/BH/PAD/KWK 22/III/1996 ;25/03/1996; 1 ; - ; 1.632 ; 1 ;22/04/2026; 5 ; 1 ; 788.391.982 ; 603.159.102 ; 763.928.700 ; 28.638.058 ; 1.391.551.084 
 3 ; KUD. Sari Pertiwi ; Desa Dencarik ; Banjar ; 95/BH/PAD/KWK 22/III/1996 ;25/03/1996; 1 ; - ; 2.213 ; 1 ;20/02/2026; 7 ; 1 ; 3.302.623.818 ; 1.378.135.891 ; 3.034.172.750 ; 74.331.403 ; 4.680.759.709 
 4 ; KUD. Nusa Partha ; Desa Kekeran ; Busungbiu ; 94/BH/PAD/KWK 22/III/96 ;25/03/1996; - ; 1 ; - ; - ;00/01/1900; - ; - ; - ; - ; - ; - ; - 
 5 ; KUD. Banyu Amertha ; Desa Kayu putih ; Banjar ; 86/BH/PAD/KWK 22/III/96 ;25/03/1996; 1 ; - ; 1.292 ; 1 ;11/02/2026; 5 ; - ; 1.496.138.462 ; 187.945.122 ; 187.064.000 ; 30.155.000 ; 1.684.083.584 
 6 ; KUD. Seririt ; Desa Umeanyar ; Seririt ; 98/BH/PAD/KWK 22/III/1996 ;25/03/1996; 1 ; - ; 501 ; 1 ;11/02/2026; 8 ; 1 ; 1.793.848.580 ; 580.657.862 ; 1.173.650.000 ; 43.165.707 ; 2.374.506.442 
 7 ; KUD. Dharma Perkasa ; Desa Bungkulan ; Sawan ; 87/BH/PAD/KWK 22/III/1996 ;25/03/1996; - ; 1 ; 99 ; - ;00/01/1900; - ; - ; - ; - ; - ; - ; - 
 8 ; KUD. Karma Bumi Amertha ; Kubutambahan ; Kubutambahan ; 88/BH/PAD/KWK 22/III/1996 ;25/03/1996; 1 ; - ; 2.968 ; - ;30/06/2018; 19 ; - ; 2.308.681.690 ; 2.677.424.982 ; 159.442.872 ; 4.774.376 ; 4.986.106.672 
 9 ; KUD. Dharma Prawerti ; Desa Tejakula ; Tejakula ; 92/BH/PAD/KWK 22/III/1996 ;25/03/1996; 1 ; - ; 2.356 ; 1 ;30/01/2026; 10 ; 2 ; 3.925.438.693 ; 1.671.743.705 ; 2.685.756.628 ; 54.685.748 ; 5.597.182.398 
 10 ; KUD. Swakarsa ; Desa Gerokgak ; Gerokgak ; 90/BH/PAD/KWK 22/III/1996 ;25/03/1996; 1 ; - ; 520 ; 1 ;26/02/2026; 6 ; 1 ; 1.186.428.020 ; 937.794.978 ; 1.292.913.950 ; 22.637.739 ; 2.124.222.998 
